antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'/', '/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt'})","frozenset({'/web/area-de-concesion', '/web/sample-page/delegaciones'})",0.0033323613945932438,0.0038738701212146457,0.0033323613945932438,1.0,258.13978494623655,1.0,0.0033194522593536398,inf,0.9994566807372424,0.8602150537634408,1.0,0.9301075268817205
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})","frozenset({'/', '/web/sample-page/delegaciones'})",0.0033323613945932438,0.0052901237139167745,0.0033323613945932438,1.0,189.03149606299212,1.0,0.003314732790556365,inf,0.9980356918961841,0.6299212598425198,1.0,0.8149606299212598
"frozenset({'/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt', '/', '/web/sample-page/delegaciones'})",frozenset({'/web/sample-page/autoridades'}),0.0033323613945932438,0.013829299787561962,0.0033323613945932438,1.0,72.31024096385542,1.0,0.003286277169866916,inf,0.989467965060392,0.24096385542168675,1.0,0.6204819277108433
"frozenset({'/', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/sample-page/autoridades'}),0.0034156704294580746,0.013829299787561962,0.0034156704294580746,1.0,72.31024096385542,1.0,0.0033684340991135884,inf,0.9895506792058517,0.2469879518072289,1.0,0.6234939759036144
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})","frozenset({'/', '/web/area-de-concesion'})",0.0033323613945932438,0.005498396301078852,0.0033323613945932438,1.0,181.87121212121212,1.0,0.0033140387510273545,inf,0.9978267229489698,0.6060606060606061,1.0,0.803030303030303
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})","frozenset({'/web/sample-page/autoridades', '/web/sample-page/delegaciones'})",0.0033323613945932438,0.004332069812971216,0.0033323613945932438,1.0,230.83653846153848,1.0,0.003317925372389816,inf,0.9989969490533707,0.7692307692307695,1.0,0.8846153846153846
"frozenset({'/web/sample-page/delegaciones', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})","frozenset({'/', '/web/sample-page/autoridades'})",0.0033323613945932438,0.010913483567292872,0.0033323613945932438,1.0,91.62977099236642,1.0,0.003295993723273069,inf,0.9923935303213942,0.3053435114503817,1.0,0.6526717557251909
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones', '/robots.txt'})","frozenset({'/web/sample-page/autoridades', '/web/area-de-concesion'})",0.0033323613945932438,0.004248760778106386,0.0033323613945932438,1.0,235.36274509803923,1.0,0.00331820298820142,inf,0.9990805366322564,0.7843137254901961,1.0,0.892156862745098
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/robots.txt'})",frozenset({'/web/sample-page/delegaciones'}),0.0033323613945932438,0.006331486649727163,0.0033323613945932438,1.0,157.94078947368422,1.0,0.0033112625929113105,inf,0.996990847160112,0.5263157894736843,1.0,0.7631578947368421
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/delegaciones'})",frozenset({'/'}),0.004332069812971216,0.22689215645436747,0.004332069812971216,1.0,4.407380209289517,1.0,0.003349157151195309,inf,0.776471572605949,0.019093078758949878,1.0,0.5095465393794749
"frozenset({'/web/area-de-concesion', '/web/sample-page/delegaciones', '/robots.txt'})","frozenset({'/', '/web/sample-page/autoridades'})",0.003374015912025659,0.010913483567292872,0.003374015912025659,1.0,91.62977099236642,1.0,0.0033371936448139826,inf,0.9924350079411519,0.30916030534351147,1.0,0.6545801526717557
"frozenset({'/web/area-de-concesion', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/sample-page/autoridades'}),0.003374015912025659,0.013829299787561962,0.003374015912025659,1.0,72.31024096385542,1.0,0.003327355634490252,inf,0.9895093204045808,0.2439759036144578,1.0,0.6219879518072289
"frozenset({'/web/area-de-concesion', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/'}),0.003374015912025659,0.22689215645436747,0.003374015912025659,1.0,4.407380209289517,1.0,0.0026084781658348077,inf,0.7757251525537072,0.01487057095648981,1.0,0.5074352854782449
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/robots.txt'})","frozenset({'/web/sample-page/autoridades', '/web/area-de-concesion'})",0.0033323613945932438,0.004248760778106386,0.0033323613945932438,1.0,235.36274509803923,1.0,0.00331820298820142,inf,0.9990805366322564,0.7843137254901961,1.0,0.892156862745098
"frozenset({'/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})","frozenset({'/', '/web/sample-page/autoridades'})",0.0033323613945932438,0.010913483567292872,0.0033323613945932438,1.0,91.62977099236642,1.0,0.003295993723273069,inf,0.9923935303213942,0.3053435114503817,1.0,0.6526717557251909
"frozenset({'/web/sample-page/delegaciones', '/web/sample-page/autoridades', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/'}),0.003374015912025659,0.22689215645436747,0.003374015912025659,1.0,4.407380209289517,1.0,0.0026084781658348077,inf,0.7757251525537072,0.01487057095648981,1.0,0.5074352854782449
"frozenset({'/', '/web/area-de-concesion', '/web/sample-page/delegaciones', '/robots.txt'})",frozenset({'/web/sample-page/autoridades'}),0.003374015912025659,0.013829299787561962,0.003374015912025659,1.0,72.31024096385542,1.0,0.003327355634490252,inf,0.9895093204045808,0.2439759036144578,1.0,0.6219879518072289
"frozenset({'/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/'}),0.0033323613945932438,0.22689215645436747,0.0033323613945932438,1.0,4.407380209289517,1.0,0.002576274731688699,inf,0.7756927320600158,0.014686983660730677,1.0,0.5073434918303653
"frozenset({'/', '/web/sample-page/autoridades', '/web/sample-page/marco-regulatorio', '/robots.txt'})",frozenset({'/web/area-de-concesion'}),0.0033323613945932438,0.01037197484067147,0.0033323613945932438,1.0,96.4136546184739,1.0,0.003297798226048498,inf,0.9929368495841517,0.321285140562249,1.0,0.6606425702811245
"frozenset({'/', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion', '/robots.txt'})",frozenset({'/web/sample-page/autoridades'}),0.0033323613945932438,0.013829299787561962,0.0033323613945932438,1.0,72.31024096385542,1.0,0.003286277169866916,inf,0.989467965060392,0.24096385542168675,1.0,0.6204819277108433
"frozenset({'/web/sample-page/autoridades', '/web/area-de-concesion'})",frozenset({'/'}),0.004248760778106386,0.22689215645436747,0.00420710626067397,0.9901960784313725,4.364170599394521,1.0,0.0032430957654706757,78.8570000416539,0.7741505671169502,0.018538913362701907,0.9873188176132521,0.5043691976515224
"frozenset({'/web/sample-page/marco-regulatorio', '/web/area-de-concesion'})",frozenset({'/'}),0.004082142708376723,0.22689215645436747,0.004040488190944308,0.989795918367347,4.362406941847788,1.0,0.0031142820288862414,75.76456866747273,0.7739280338293003,0.017804698972099853,0.9868012183321606,0.5038019430279915
"frozenset({'/web/sample-page/marco-regulatorio', '/web/sample-page/delegaciones'})",frozenset({'/'}),0.0038738701212146457,0.22689215645436747,0.0038322156037822303,0.989247311827957,4.359989024243394,1.0,0.0029532648581556973,71.89902944974389,0.773638599910549,0.016886930983847283,0.9860916064145346,0.5030686715188987
"frozenset({'/', '/web/sample-page/delegaciones', '/web/sample-page/marco-regulatorio', '/web/area-de-concesion'})",frozenset({'/web/sample-page/autoridades'}),0.0037072520514849837,0.013829299787561962,0.003665597534052568,0.9887640449438202,71.49776634628401,1.0,0.003614328834044528,87.76919231890678,0.9896825517487781,0.26426426426426425,0.9886064805476786,0.6269121429538378
